Cod, Evento
414, xApp_Lora_Log_Event_RXStatus_LORAWAN_INVALID_BUFFER_LENGTH   
415, xApp_Lora_Log_Event_RXStatus_LORAWAN_MAC_PAUSED              
416, xApp_Lora_Log_Event_RXStatus_LORAWAN_NO_CHANNELS_FOUND       
417, xApp_Lora_Log_Event_RXStatus_LORAWAN_BUSY
418, xApp_Lora_Log_Event_RXStatus_LORAWAN_NO_ACK                  
419, xApp_Lora_Log_Event_RXStatus_LORAWAN_NWK_JOIN_IN_PROGRESS    
420, xApp_Lora_Log_Event_RXStatus_LORAWAN_RESOURCE_UNAVAILABLE
421, xApp_Lora_Log_Event_RXStatus_LORAWAN_INVALID_REQUEST         
422, xApp_Lora_Log_Event_RXStatus_LORAWAN_UNSUPPORTED_BAND        
423, xApp_Lora_Log_Event_RXStatus_LORAWAN_FCNTR_ERROR             
424, xApp_Lora_Log_Event_RXStatus_LORAWAN_MIC_ERROR               
425, xApp_Lora_Log_Event_RXStatus_LORAWAN_INVALID_MTYPE           
426, xApp_Lora_Log_Event_RXStatus_LORAWAN_MCAST_HDR_INVALID       
427, xApp_Lora_Log_Event_RXStatus_LORAWAN_TX_TIMEOUT              
428, xApp_Lora_Log_Event_RXStatus_LORAWAN_RADIO_TX_TIMEOUT        
429, xApp_Lora_Log_Event_RXStatus_LORAWAN_MAX_MCAST_GROUP_REACHED
430, xApp_Lora_Log_Event_RXStatus_LORAWAN_INVALID_PACKET
431, xApp_Lora_Log_Event_RXStatus_LORAWAN_RXPKT_ENCRYPTION_FAILED
432, xApp_Lora_Log_Event_RXStatus_LORAWAN_TXPKT_ENCRYPTION_FAILED
433, xApp_Lora_Log_Event_RXStatus_LORAWAN_SKEY_DERIVATION_FAILED
434, xApp_Lora_Log_Event_RXStatus_LORAWAN_MIC_CALCULATION_FAILED
435, xApp_Lora_Log_Event_RXStatus_LORAWAN_SKEY_READ_FAILED        
436, xApp_Lora_Log_Event_RXStatus_LORAWAN_JOIN_NONCE_ERROR
500, xApp_Lora_Log_Event_TXStatus_LORAWAN_RADIO_SUCCESS           
501, xApp_Lora_Log_Event_TXStatus_LORAWAN_RADIO_NO_DATA           
502, xApp_Lora_Log_Event_TXStatus_LORAWAN_RADIO_DATA_SIZE         
503, xApp_Lora_Log_Event_TXStatus_LORAWAN_RADIO_INVALID_REQ       
504, xApp_Lora_Log_Event_TXStatus_LORAWAN_RADIO_BUSY              
505, xApp_Lora_Log_Event_TXStatus_LORAWAN_RADIO_OUT_OF_RANGE      
506, xApp_Lora_Log_Event_TXStatus_LORAWAN_RADIO_UNSUPPORTED_ATTR  
507, xApp_Lora_Log_Event_TXStatus_LORAWAN_RADIO_CHANNEL_BUSY      
